AppID,Name,Release date,Estimated owners,Required age,Price,Supported languages,Positive,Negative,Achievements,Recommendations,Average playtime forever,Publishers,Categories,Genres
945610,Lil' Arena,16-Nov-18,20000 - 50000,0,0,['English'],28,17,69,0,0,Tall Guy Productions,"Multi-player,PvP,Online PvP","Action,Free to Play,Indie,Early Access"
1022860,Tuber`s Run,21-Feb-19,0 - 20000,0,2.99,"['English', 'Turkish']",0,0,10,0,0,SOLOABLE GAMES,"Single-player,Steam Achievements","Action,Casual,Indie"
208480,Assassin’s Creed® III,20-Nov-12,1000000 - 2000000,17,0,"['English', 'Czech', 'Danish', 'Dutch', 'Finnish', 'French', 'German', 'Hungarian', 'Italian', 'Norwegian', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Russian', 'Spanish - Spain', 'Swedish', 'Traditional Chinese', 'Korean', 'Simplified Chinese']",10342,3568,0,11864,1906,Ubisoft,"Single-player,Multi-player,Partial Controller Support",Adventure
422810,River City Ransom: Underground,27-Feb-17,50000 - 100000,0,19.99,"['English', 'Japanese', 'Simplified Chinese']",1731,565,48,1910,297,Conatus Creative Inc.,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play Together","Action,Indie,RPG"
682160,Butterbies,18-Jan-19,0 - 20000,0,0,['English'],4,2,0,0,0,Parakite LTD,Single-player,"Casual,Simulation"
413110,Hero's Song™,7-Nov-16,0 - 20000,0,0,['English'],114,75,0,106,0,Pixelmage Games LLC,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Cross-Platform Multiplayer,Remote Play Together","Action,RPG,Simulation,Early Access"
634410,A Story Beside,24-May-22,0 - 20000,0,14.99,['English'],158,3,16,149,0,Wayward Prophet,"Single-player,Partial Controller Support,Steam Cloud","Adventure,Casual,Indie"
1235480,Abst Clicker Farm,11-Feb-20,0 - 20000,0,0.99,['English'],1,11,5,0,0,cBlck,"Single-player,Steam Achievements,Steam Leaderboards","Casual,Indie,Simulation"
1616290,Golf Gang Playtest,18-Apr-22,0 - 0,0,0,[],0,0,0,0,0,,,
863150,Caverns: Lost Sky,31-Jan-19,0 - 20000,0,19.99,['English'],3,2,0,0,0,Tetravoxel Limited,Single-player,"Action,Adventure,Indie,RPG,Early Access"
252330,Slender: The Arrival,28-Oct-13,200000 - 500000,0,9.99,['English'],6298,853,21,5969,136,Blue Isle Publishing,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards","Action,Adventure,Indie"
381250,Stardrift Nomads,7-Apr-17,0 - 20000,0,9.99,['English'],9,0,32,0,0,Risen Games,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards","Action,Indie,Strategy"
1440370,Before Dark,21-Oct-20,0 - 20000,0,2.99,['English'],2,0,46,0,0,AHAKuo Creations,"Single-player,Steam Achievements","Action,Adventure,Casual,Indie"
